employee_id,company_id,dept,seniority,salary,join_date,quit_date
13021,7,customer_service,28,89000,3/24/2014,10/30/2015
825355,7,marketing,20,183000,4/29/2013,4/4/2014
927315,4,marketing,14,101000,10/13/2014,NA
662910,7,customer_service,20,115000,5/14/2012,6/7/2013
256971,2,data_science,23,276000,10/17/2011,8/22/2014
509529,4,data_science,14,165000,1/30/2012,8/30/2013
88600,4,customer_service,21,107000,10/21/2013,NA
716309,2,customer_service,4,30000,3/5/2014,NA
172999,9,engineer,7,160000,12/10/2012,10/23/2015
504159,1,sales,7,104000,6/12/2012,NA
892155,6,customer_service,13,72000,11/12/2012,2/27/2015
904158,2,marketing,17,230000,5/11/2015,NA
939058,1,marketing,1,48000,12/10/2012,11/15/2013
163427,10,marketing,23,154000,6/18/2012,9/25/2015
461248,2,sales,20,201000,9/16/2013,8/22/2014
265226,1,data_science,4,80000,5/27/2014,7/10/2015
932790,7,marketing,10,88000,11/30/2011,11/22/2013
69693,7,customer_service,6,54000,3/31/2014,NA
721600,2,marketing,20,193000,12/29/2014,NA
982668,1,customer_service,14,76000,7/27/2015,NA
123896,7,engineer,19,231000,10/19/2015,NA
219944,6,customer_service,15,98000,6/25/2012,5/31/2013
569302,5,data_science,14,144000,11/28/2011,7/6/2015
189981,3,marketing,14,97000,8/20/2013,8/15/2014
819445,2,marketing,6,151000,7/29/2013,8/1/2014
467023,3,customer_service,15,110000,5/31/2011,2/8/2013
6808,4,data_science,26,230000,8/26/2013,NA
940786,3,data_science,27,223000,3/21/2011,3/2/2012
888375,1,customer_service,5,75000,8/1/2011,10/4/2013
564835,5,customer_service,6,71000,2/14/2011,4/11/2014
72260,1,engineer,18,315000,6/8/2015,NA
476097,1,customer_service,23,111000,7/16/2012,5/15/2015
922883,7,engineer,16,291000,3/31/2015,NA
29950,2,design,20,210000,5/20/2013,NA
298691,1,engineer,21,259000,8/26/2014,NA
361378,2,marketing,25,207000,3/11/2013,1/16/2015
958767,7,customer_service,19,103000,10/8/2012,10/11/2013
942845,4,sales,14,105000,6/25/2012,5/31/2013
573299,9,customer_service,20,108000,4/13/2015,NA
739669,2,engineer,9,178000,11/28/2011,NA
390806,3,customer_service,23,101000,3/18/2013,NA
489148,2,engineer,5,192000,4/21/2014,NA
991265,5,data_science,14,154000,6/13/2011,7/27/2012
13380,9,customer_service,20,117000,2/21/2012,1/17/2014
16871,1,customer_service,23,1.00E+05,3/31/2015,NA
537932,1,customer_service,7,89000,8/18/2014,8/13/2015
282949,8,data_science,26,218000,3/16/2015,NA
139022,2,data_science,20,317000,11/28/2011,11/21/2014
945037,9,engineer,27,192000,5/4/2015,NA
695896,7,sales,7,1.00E+05,7/30/2012,7/12/2013
280427,1,marketing,9,112000,6/13/2011,5/15/2015
611637,3,marketing,2,39000,6/25/2012,9/26/2014
437897,10,customer_service,29,99000,7/29/2014,8/28/2015
960822,9,customer_service,9,70000,1/9/2012,3/8/2013
789114,1,data_science,2,76000,5/7/2012,7/24/2015
87671,1,sales,9,122000,12/16/2013,1/30/2015
75539,1,engineer,13,180000,6/4/2012,NA
244626,1,marketing,3,47000,3/12/2012,4/5/2013
957742,1,customer_service,29,141000,7/15/2013,5/2/2014
268784,4,marketing,5,99000,2/21/2012,12/19/2014
701728,2,customer_service,19,109000,8/27/2012,3/25/2014
54096,1,data_science,23,338000,9/14/2011,10/18/2013
41164,1,customer_service,28,133000,9/2/2014,9/4/2015
779068,2,sales,25,166000,11/24/2014,10/30/2015
503937,3,customer_service,5,68000,12/29/2014,NA
47442,1,customer_service,8,90000,10/7/2013,NA
928528,1,data_science,18,3.00E+05,3/23/2015,NA
263170,2,data_science,28,265000,10/22/2012,NA
707610,7,marketing,27,158000,6/25/2012,2/20/2015
864762,3,customer_service,22,89000,6/3/2013,2/27/2015
